Sample_name	Species	Read_1	Read_2
ES-A-FC504-20OCT14-0213I	E_faecalis	E_faecalis_368/all_reads/ES-A-FC504-20OCT14-0213I_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC504-20OCT14-0213I_2.fastq.gz
ES-A-FC506-20OCT14-0214B	E_faecalis	E_faecalis_368/all_reads/ES-A-FC506-20OCT14-0214B_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC506-20OCT14-0214B_2.fastq.gz
ES-A-FC604-20OCT14-0216B	E_faecalis	E_faecalis_368/all_reads/ES-A-FC604-20OCT14-0216B_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC604-20OCT14-0216B_2.fastq.gz
ES-A-FC604-20OCT14-0216K	E_faecalis	E_faecalis_368/all_reads/ES-A-FC604-20OCT14-0216K_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC604-20OCT14-0216K_2.fastq.gz
ES-A-FC606-15DEC15-0736C	E_faecalis	E_faecalis_368/all_reads/ES-A-FC606-15DEC15-0736C_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC606-15DEC15-0736C_2.fastq.gz
ES-A-FC606-20OCT14-0217B	E_faecalis	E_faecalis_368/all_reads/ES-A-FC606-20OCT14-0217B_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC606-20OCT14-0217B_2.fastq.gz
ES-A-FC606-20OCT14-0217I	E_faecalis	E_faecalis_368/all_reads/ES-A-FC606-20OCT14-0217I_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC606-20OCT14-0217I_2.fastq.gz
ES-A-FC606-20OCT14-0217J	E_faecalis	E_faecalis_368/all_reads/ES-A-FC606-20OCT14-0217J_1.fastq.gz	E_faecalis_368/all_reads/ES-A-FC606-20OCT14-0217J_2.fastq.gz
ES-C-ST001-01FEB16-0145A	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-01FEB16-0145A_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-01FEB16-0145A_2.fastq.gz
ES-C-ST001-01FEB16-0145B	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-01FEB16-0145B_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-01FEB16-0145B_2.fastq.gz
ES-C-ST001-01FEB16-0145C	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-01FEB16-0145C_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-01FEB16-0145C_2.fastq.gz
ES-C-ST001-01FEB16-0145M	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-01FEB16-0145M_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-01FEB16-0145M_2.fastq.gz
ES-C-ST001-05OCT15-0134I	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-05OCT15-0134I_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-05OCT15-0134I_2.fastq.gz
ES-C-ST001-05OCT15-0134J	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-05OCT15-0134J_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-05OCT15-0134J_2.fastq.gz
ES-C-ST001-05OCT15-0134K	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-05OCT15-0134K_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-05OCT15-0134K_2.fastq.gz
ES-C-ST001-05OCT15-0134M	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-05OCT15-0134M_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-05OCT15-0134M_2.fastq.gz
ES-C-ST001-07DEC15-0141A	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141A_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141A_2.fastq.gz
ES-C-ST001-07DEC15-0141B	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141B_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141B_2.fastq.gz
ES-C-ST001-07DEC15-0141C	E_faecalis	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141C_1.fastq.gz	E_faecalis_368/all_reads/ES-C-ST001-07DEC15-0141C_2.fastq.gz
